Split,Swim Stroke,Lengths,Distance,Time,Avg Pace,Best Pace,Avg SWOLF,Avg HR,Max HR,Total Strokes,Avg Strokes,Calories
1,MIXED,12,275,00:07:07.440,2:13,2:01,47.0,128.0,140.0,149,13.5,55
1.1,--,1,0,00:01:03.000,--,--,--,113.0,118.0,--,--,--
1.2,FREESTYLE,1,25,00:00:38.375,2:33,2:33,50.0,112.0,120.0,12,--,5
1.3,FREESTYLE,1,25,00:00:31.812,2:07,2:07,45.0,122.0,128.0,13,--,5
1.4,FREESTYLE,1,25,00:00:32.186,2:09,2:09,45.0,126.0,129.0,13,--,5
1.5,FREESTYLE,1,25,00:00:33.687,2:15,2:15,48.0,126.0,133.0,14,--,5
1.6,FREESTYLE,1,25,00:00:33.250,2:13,2:13,47.0,133.0,136.0,14,--,5
1.7,FREESTYLE,1,25,00:00:31.937,2:08,2:08,46.0,138.0,140.0,14,--,5
1.8,FREESTYLE,1,25,00:00:30.187,2:01,2:01,42.0,135.0,138.0,12,--,5
1.9,FREESTYLE,1,25,00:00:34.000,2:16,2:16,48.0,135.0,139.0,14,--,5
1.10,FREESTYLE,1,25,00:00:31.687,2:07,2:07,45.0,138.0,140.0,13,--,5
1.11,FREESTYLE,1,25,00:00:32.625,2:10,2:10,49.0,135.0,137.0,16,--,5
1.12,FREESTYLE,1,25,00:00:34.693,2:19,2:19,49.0,135.0,138.0,14,--,5
REST,,,0,00:00:15.004,--,--,0.0,134.0,135.0,0,0.0,1
2,MIXED,64,1575,00:36:21.145,2:17,1:07,48.0,133.0,146.0,862,13.699999809265137,314
2.1,FREESTYLE,1,25,00:00:37.937,2:32,2:32,52.0,137.0,141.0,14,--,5
2.2,FREESTYLE,1,25,00:00:32.000,2:08,2:08,45.0,137.0,140.0,13,--,5
2.3,FREESTYLE,1,25,00:00:34.437,2:18,2:18,47.0,137.0,140.0,13,--,5
2.4,FREESTYLE,1,25,00:00:31.437,2:06,2:06,44.0,135.0,138.0,13,--,5
2.5,FREESTYLE,1,25,00:00:36.062,2:24,2:24,51.0,132.0,135.0,15,--,5
2.6,FREESTYLE,1,25,00:00:32.186,2:09,2:09,45.0,134.0,138.0,13,--,5
2.7,FREESTYLE,1,25,00:00:34.250,2:17,2:17,49.0,139.0,143.0,15,--,5
2.8,FREESTYLE,1,25,00:00:32.561,2:10,2:10,46.0,139.0,141.0,13,--,5
2.9,FREESTYLE,1,25,00:00:34.000,2:16,2:16,48.0,135.0,137.0,14,--,5
2.10,FREESTYLE,1,25,00:00:31.437,2:06,2:06,45.0,128.0,133.0,14,--,5
2.11,FREESTYLE,1,25,00:00:36.312,2:25,2:25,51.0,132.0,136.0,15,--,5
2.12,FREESTYLE,1,25,00:00:33.062,2:12,2:12,47.0,134.0,136.0,14,--,5
2.13,FREESTYLE,1,25,00:00:34.312,2:17,2:17,48.0,132.0,134.0,14,--,5
2.14,FREESTYLE,1,25,00:00:33.250,2:13,2:13,47.0,133.0,135.0,14,--,5
2.15,FREESTYLE,1,25,00:00:36.750,2:27,2:27,52.0,132.0,134.0,15,--,5
2.16,FREESTYLE,1,25,00:00:34.125,2:16,2:16,47.0,130.0,132.0,13,--,5
2.17,FREESTYLE,1,25,00:00:35.187,2:21,2:21,50.0,130.0,133.0,15,--,5
2.18,FREESTYLE,1,25,00:00:35.875,2:24,2:24,50.0,129.0,133.0,14,--,5
2.19,FREESTYLE,1,25,00:00:51.812,3:27,3:27,70.0,129.0,133.0,18,--,4
2.20,FREESTYLE,1,25,00:00:35.375,2:22,2:22,49.0,134.0,141.0,14,--,5
2.21,FREESTYLE,1,25,00:00:34.000,2:16,2:16,48.0,142.0,144.0,14,--,5
2.22,FREESTYLE,1,25,00:00:36.187,2:25,2:25,51.0,140.0,142.0,15,--,5
2.23,FREESTYLE,1,25,00:00:35.875,2:24,2:24,50.0,135.0,141.0,14,--,5
2.24,FREESTYLE,1,25,00:00:36.312,2:25,2:25,50.0,124.0,128.0,14,--,5
2.25,FREESTYLE,1,25,00:00:33.937,2:16,2:16,49.0,133.0,137.0,15,--,5
2.26,FREESTYLE,1,25,00:00:37.250,2:29,2:29,52.0,137.0,141.0,15,--,5
2.27,FREESTYLE,1,25,00:00:32.375,2:10,2:10,45.0,138.0,140.0,13,--,5
2.28,FREESTYLE,1,25,00:00:35.187,2:21,2:21,49.0,136.0,139.0,14,--,5
2.29,FREESTYLE,1,25,00:00:35.937,2:24,2:24,52.0,135.0,138.0,16,--,5
2.30,FREESTYLE,1,25,00:00:33.875,2:15,2:15,48.0,134.0,135.0,14,--,5
2.31,FREESTYLE,1,25,00:00:36.375,2:26,2:26,51.0,133.0,134.0,15,--,5
2.32,FREESTYLE,1,25,00:00:32.250,2:09,2:09,45.0,133.0,134.0,13,--,5
2.33,FREESTYLE,1,25,00:00:37.500,2:30,2:30,53.0,131.0,135.0,15,--,5
2.34,FREESTYLE,1,25,00:00:32.937,2:12,2:12,46.0,131.0,135.0,13,--,5
2.35,FREESTYLE,1,25,00:00:40.625,2:42,2:42,57.0,127.0,132.0,16,--,5
2.36,FREESTYLE,1,25,00:00:33.000,2:12,2:12,43.0,127.0,131.0,10,--,5
2.37,FREESTYLE,1,25,00:00:18.375,1:14,1:14,24.0,129.0,131.0,6,--,5
2.38,--,1,0,00:00:26.625,--,--,--,122.0,130.0,--,--,--
2.39,FREESTYLE,1,25,00:00:36.437,2:26,2:26,51.0,117.0,131.0,15,--,5
2.40,FREESTYLE,1,25,00:00:30.062,2:00,2:00,42.0,132.0,138.0,12,--,5
2.41,FREESTYLE,1,25,00:00:34.375,2:18,2:18,49.0,141.0,145.0,15,--,5
2.42,FREESTYLE,1,25,00:00:37.187,2:29,2:29,52.0,138.0,144.0,15,--,5
2.43,FREESTYLE,1,25,00:00:34.875,2:20,2:20,48.0,132.0,137.0,13,--,5
2.44,FREESTYLE,1,25,00:00:17.062,1:08,1:08,24.0,130.0,132.0,7,--,5
2.45,FREESTYLE,1,25,00:00:16.687,1:07,1:07,24.0,131.0,132.0,7,--,5
2.46,FREESTYLE,1,25,00:00:37.375,2:29,2:29,52.0,132.0,135.0,15,--,5
2.47,FREESTYLE,1,25,00:00:34.875,2:20,2:20,49.0,137.0,146.0,14,--,5
2.48,FREESTYLE,1,25,00:00:36.250,2:25,2:25,50.0,136.0,142.0,14,--,5
2.49,FREESTYLE,1,25,00:00:34.937,2:20,2:20,49.0,136.0,139.0,14,--,5
2.50,FREESTYLE,1,25,00:00:36.750,2:27,2:27,53.0,133.0,137.0,16,--,5
2.51,FREESTYLE,1,25,00:00:38.062,2:32,2:32,52.0,134.0,135.0,14,--,5
2.52,FREESTYLE,1,25,00:00:37.125,2:28,2:28,52.0,136.0,139.0,15,--,5
2.53,FREESTYLE,1,25,00:00:34.250,2:17,2:17,48.0,134.0,136.0,14,--,5
2.54,FREESTYLE,1,25,00:00:20.937,1:24,1:24,30.0,135.0,137.0,9,--,5
2.55,FREESTYLE,1,25,00:00:16.937,1:08,1:08,23.0,136.0,138.0,6,--,5
2.56,FREESTYLE,1,25,00:00:36.750,2:27,2:27,52.0,135.0,138.0,15,--,5
2.57,FREESTYLE,1,25,00:00:35.250,2:21,2:21,49.0,131.0,135.0,14,--,5
2.58,FREESTYLE,1,25,00:00:39.250,2:37,2:37,55.0,129.0,132.0,16,--,5
2.59,FREESTYLE,1,25,00:00:39.500,2:38,2:38,55.0,130.0,133.0,15,--,5
2.60,FREESTYLE,1,25,00:00:37.437,2:30,2:30,51.0,128.0,132.0,14,--,5
2.61,FREESTYLE,1,25,00:00:38.062,2:32,2:32,54.0,129.0,131.0,16,--,5
2.62,FREESTYLE,1,25,00:00:37.562,2:30,2:30,52.0,127.0,130.0,14,--,5
2.63,FREESTYLE,1,25,00:00:40.687,2:43,2:43,56.0,124.0,127.0,15,--,5
2.64,FREESTYLE,1,25,00:00:31.473,2:06,2:06,44.0,127.0,129.0,13,--,5
Summary,,76,1850,00:43:43.589,2:16,1:07,48.0,132.0,146.0,1011,13.699999809265137,370
